phi,subsystem,etaBefore,etaAfter,X0Before,X0After,deltaX0,deltaLambdaI,topVolume,topVolumeDeltaX0
0,OHCAL,-1.07,-1.065,36.05919972,37.42884744,1.369647723,0.1387255808,av_13_impr_23_OuterHCalSector_Steel_pv_0,1.406428957
0,OHCAL,1.06,1.065,37.42854873,36.05908153,-1.369467198,-0.1387031102,av_13_impr_23_OuterHCalSector_Steel_pv_0,-1.406276954
1.5707963267949,OHCAL,-1.09,-1.085,2.174913846,3.543643351,1.368729506,0.1432999982,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,1.36932459
1.5707963267949,OHCAL,-0.685,-0.68,45.47815386,44.11847653,-1.359677325,-0.1443192812,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.356302727
1.5707963267949,OHCAL,0.675,0.68,44.12053771,45.47812119,1.357583478,0.1430620415,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,1.356300761
1.5707963267949,OHCAL,-1.095,-1.09,0.8246253825,2.174913846,1.350288463,0.1413634649,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,1.350887298
1.5707963267949,OHCAL,0.925,0.93,44.10663021,45.43810481,1.331474605,0.1404061652,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,1.330024068
1.5707963267949,OHCAL,-0.96,-0.955,21.26453778,22.56514903,1.300611256,0.1359214718,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,1.301674394
0,OHCAL,-1.06,-1.055,38.71716088,40.0142557,1.297094818,0.1387362106,av_13_impr_23_OuterHCalSector_Steel_pv_0,1.272358353
0,OHCAL,1.05,1.055,40.01408408,38.71701759,-1.297066492,-0.1387296815,av_13_impr_23_OuterHCalSector_Steel_pv_0,-1.272358757
0,OHCAL,1.055,1.06,38.71701759,37.42854873,-1.288468862,-0.1350746818,av_13_impr_23_OuterHCalSector_Steel_pv_0,-1.285974357
0,OHCAL,-1.065,-1.06,37.42884744,38.71716088,1.288313441,0.1350583764,av_13_impr_23_OuterHCalSector_Steel_pv_0,1.285818936
1.5707963267949,OHCAL,1.055,1.06,37.36598654,36.08111137,-1.284875165,-0.1342526958,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.285974357
