region,eta,subsystem,nsamples,meanX0,rmsX0,meanLambdaI,rmsLambdaI
SECTOR,-0.7,PIPE,124,0.00271135583815938,6.29579224088511e-08,0.0024267375739525,5.63490745200271e-08
SECTOR,-0.7,MVTX,124,0.027178264769765,0.0150675529382646,0.011303956216078,0.00411853053656222
SECTOR,-0.7,INTT,124,0.0738721307130019,0.0170072706737704,0.0323130907878214,0.0074733596254221
SECTOR,-0.7,TPC,124,0.0522070412551073,0.000873866445628386,0.0191168619479366,0.000265041879031757
SECTOR,-0.7,EMCAL,124,20.7616921290913,2.00734524185309,0.898579127467037,0.0714429057722551
SECTOR,-0.7,MAGNET,124,1.70902063240665,0.0209533294767089,0.390904221651238,0.00479265422240276
SECTOR,-0.7,IHCAL,124,1.36898353956371,0.107046364228366,0.360128003470965,0.0247727486099135
SECTOR,-0.7,OHCAL,124,43.9586392793484,2.6877208997454,4.79919603907937,0.288617083937363
SECTOR,-0.7,OTHER,124,0.00380959139920432,0.0123252588762629,0.0010186733433256,0.003439199508117
SECTOR,-0.68,PIPE,137,0.00280174718131246,0.0014298684684095,0.00241291549544626,0.000175099849888708
SECTOR,-0.68,MVTX,137,0.0252809922331799,0.0126150416464492,0.0107191385734889,0.00415501163846501
SECTOR,-0.68,INTT,137,0.0743666923737809,0.0146349276705895,0.0324836389769801,0.00656899703094653
SECTOR,-0.68,TPC,137,0.0515961251077603,0.000874531731808865,0.0188918060927791,0.00026335651465226
SECTOR,-0.68,EMCAL,137,20.3964896478115,2.02932812660447,0.883857479641779,0.0777516003300424
SECTOR,-0.68,MAGNET,137,1.68678362219065,0.0214884491616538,0.385817951184102,0.00491505212678277
SECTOR,-0.68,IHCAL,137,1.3449007093668,0.115169074740733,0.353113419390442,0.0269831518960297
SECTOR,-0.68,OHCAL,137,44.0041591989936,2.05467439876283,4.80994037507303,0.217026066484774
SECTOR,-0.68,OTHER,137,0.00342386700065753,0.0111740516624324,0.000813263161328878,0.00278257245437426
SECTOR,-0.66,PIPE,113,0.00294181027621169,0.00218901476277097,0.00240599245603965,0.000268055502289701
SECTOR,-0.66,MVTX,113,0.0256524548906903,0.0148068546935107,0.01058447123856,0.00409790551388591
SECTOR,-0.66,INTT,113,0.0751674674463614,0.0122869765820406,0.0327442343093319,0.00574553372978405
SECTOR,-0.66,TPC,113,0.0512727559487551,0.00152431641060756,0.0187567451055973,0.000462322003238977
SECTOR,-0.66,EMCAL,113,20.3187354726571,1.85351117710603,0.882045685300707,0.0735364633288283
SECTOR,-0.66,MAGNET,113,1.66450079737875,2.98023223876953e-08,0.380721201546258,0
SECTOR,-0.66,IHCAL,113,1.32986374719278,0.112951280648207,0.349042508636267,0.0268928148189339
SECTOR,-0.66,OHCAL,113,43.7345178166216,1.39642176760892,4.77920341741465,0.138827359318798
SECTOR,-0.66,OTHER,113,0.00155166435243373,0.00621831198362041,0.000438928260081886,0.00213619351977079
SECTOR,-0.64,PIPE,128,0.00287432221278833,0.00203552458674357,0.0023744692696314,0.000249260564780129
SECTOR,-0.64,MVTX,128,0.0263474021542318,0.0170783914632253,0.0109386106520105,0.00448455918824416
SECTOR,-0.64,INTT,128,0.0732827696466304,0.0144109684220682,0.0319484383306697,0.00647134214328957
SECTOR,-0.64,TPC,128,0.0505535390381121,0.00121687750239252,0.0185006587475098,0.000366338328878028
SECTOR,-0.64,EMCAL,128,20.1139872041668,1.72674229931936,0.877925375004703,0.0635509454377859
SECTOR,-0.64,MAGNET,128,1.64612500596596,0.00615658054459795,0.376518107503251,0.0014081944243937
SECTOR,-0.64,IHCAL,128,1.29927946879933,0.101993384910102,0.342263006827337,0.0244440797355023
SECTOR,-0.64,OHCAL,128,42.9756207093942,1.25492990311882,4.69991589520426,0.122537898493796
SECTOR,-0.64,OTHER,128,0.00314626138483752,0.0121047905367274,0.000656211822717279,0.00263727083422674
SECTOR,-0.62,PIPE,143,0.00292931505727808,0.00232608228445839,0.00235875329535938,0.000284839782115436
SECTOR,-0.62,MVTX,143,0.0267381969108746,0.0203706425701183,0.0106495417596895,0.00472435016429258
SECTOR,-0.62,INTT,143,0.0740029124847285,0.011819928215364,0.0322406410482748,0.00566047140931244
SECTOR,-0.62,TPC,143,0.0505449316735931,0.00205252807189664,0.0184644647503249,0.000622974695803482
SECTOR,-0.62,EMCAL,143,20.5765319891658,1.85178949186866,0.893665139754199,0.0703845375317666
